event_key,event_name,start_date,end_date,event_location,event_type,event_location-size
759,St. Patrick's Day,17/03/2015,17/03/2015,Domestic,holiday,
760,Thanksgiving,12/10/2015,12/10/2015,Domestic,holiday,
761,Valentine's Day,14/02/2015,14/02/2015,Domestic,holiday,
762,Vancouver Fashion Week,30/03/2015,05/04/2015,Vancouver,event,647540
763,Vancouver Gem & Mineral Show,09/08/2015,09/08/2015,Vancouver,event,647540
764,Vancouver Gift Expo,15/03/2015,17/03/2015,Vancouver,event,647540
765,Vancouver International Travel Expo,19/09/2015,19/09/2015,Vancouver,event,647540
766,Victoria Day,18/05/2015,18/05/2015,Domestic,holiday,
767,BMO Vancouver Marathon,03/05/2015,03/05/2015,Vancouver,event,647540
768,Honda Celebration of Light,25/07/2015,25/07/2015,Vancouver,event,647540
769,Vancouver Cherry Blossom Festival,04/04/2015,28/04/2015,Vancouver,event,647540
770,Dine Out Vancouver Festival,17/01/2015,02/02/2015,Vancouver,event,647540
771,HSBC Canada Sevens,07/03/2015,08/03/2015,Vancouver,event,647540
772,International Jazz Festival,21/06/2015,01/07/2015,Vancouver,event,647540
773,PuSh International Performing Arts Festival,21/01/2015,09/02/2015,Vancouver,event,647540
774,TED Conference,20/04/2015,24/04/2015,Vancouver,event,647540
775,Vancouver Craft Beer Week,29/05/2015,07/06/2015,Vancouver,event,647540
776,Vancouver Folk Music Festival,17/07/2015,19/07/2015,Vancouver,event,647540
777,Vancouver International Film Festival (VIFF),24/09/2015,09/10/2015,Vancouver,event,647540
778,Vancouver International Wine Festival,22/02/2015,01/03/2015,Vancouver,event,647540
779,Vancouver Opera Festival,22/02/2015,01/05/2015,Vancouver,event,647540
780,Vancouver Pride Festival,02/08/2015,02/08/2015,Vancouver,event,647540
781,Aboriginal Day,21/06/2014,21/06/2014,Domestic,holiday,
782,Boxing Day,26/12/2014,26/12/2014,Domestic,holiday,
783,BUILDEX Vancouver,12/02/2014,13/02/2014,Vancouver,event,647540
784,Canada Day,01/07/2014,01/07/2014,Domestic,holiday,
785,Canada Day Celebrations,01/07/2014,01/07/2014,Vancouver,event,647540
786,Christmas Day,25/12/2014,25/12/2014,Domestic,holiday,
787,Civic Holiday,03/08/2014,03/08/2014,Domestic,holiday,
788,Easter Monday,13/04/2014,13/04/2014,Domestic,holiday,
789,Family Day,17/02/2014,17/02/2014,Domestic,holiday,
790,Father's Day,21/06/2014,21/06/2014,Domestic,holiday,
791,Good Friday,10/04/2014,10/04/2014,Domestic,holiday,
792,Heritage Day,17/02/2014,17/02/2014,Domestic,holiday,
793,Islander Day,17/02/2014,17/02/2014,Domestic,holiday,
794,Labour Day,07/09/2014,07/09/2014,Domestic,holiday,
795,Leap Day,29/02/2014,29/02/2014,Domestic,holiday,
796,Louis Riel Day,17/02/2014,17/02/2014,Domestic,holiday,
797,Mother's Day,10/05/2014,10/05/2014,Domestic,holiday,
798,New Year's Day,01/01/2014,01/01/2014,Domestic,holiday,
799,New Year's Eve,31/12/2014,31/12/2014,Vancouver,holiday,647540
800,Remembrance Day,11/11/2014,11/11/2014,Domestic,holiday,
801,Remembrance Day Parade and Service,11/11/2014,11/11/2014,Vancouver,event,647540
802,Sidelaunch Days,10/08/2014,11/08/2014,Domestic,holiday,
803,St. Jean Baptiste Day,24/06/2014,24/06/2014,Domestic,holiday,
804,St. Patrick's Day,17/03/2014,17/03/2014,Domestic,holiday,
805,Thanksgiving,12/10/2014,12/10/2014,Domestic,holiday,
806,Valentine's Day,14/02/2014,14/02/2014,Domestic,holiday,
807,Vancouver Fashion Week,30/03/2014,05/04/2014,Vancouver,event,647540
808,Vancouver Gem & Mineral Show,09/08/2014,09/08/2014,Vancouver,event,647540
809,Vancouver Gift Expo,15/03/2014,17/03/2014,Vancouver,event,647540
810,Vancouver International Travel Expo,19/09/2014,19/09/2014,Vancouver,event,647540
811,Victoria Day,18/05/2014,18/05/2014,Domestic,holiday,
812,BMO Vancouver Marathon,03/05/2014,03/05/2014,Vancouver,event,647540
813,Honda Celebration of Light,25/07/2014,25/07/2014,Vancouver,event,647540
814,Vancouver Cherry Blossom Festival,04/04/2014,28/04/2014,Vancouver,event,647540
